City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Matadi,CD,75.74,light rain,-5.8167,13.45,Hotel Vivi Palace
3,Lorengau,PG,81.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
6,Boma,GH,78.73,few clouds,7.0805,-2.1697,Obaatanpa Hotel
7,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Riberalta,BO,87.48,broken clouds,-10.9833,-66.1,Hotel Colonial
12,Ilhabela,BR,75.0,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
23,Rikitea,PF,78.78,light rain,-23.1203,-134.9692,People ThankYou
24,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
28,Kirakira,SB,81.46,moderate rain,-10.4544,161.9205,SanBiz Lodge
36,Townsville,AU,76.08,few clouds,-19.25,146.8,Rydges Southbank Townsville
39,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Cockburn Town,TC,77.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
55,Isangel,VU,79.72,moderate rain,-19.55,169.2667,Tanna Lodge
57,Porto Novo,BJ,79.45,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
62,Bambous Virieux,MU,75.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
66,Cayenne,GF,82.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
70,Kandrian,PG,78.39,broken clouds,-6.2167,149.55,Kandrian Station
73,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
74,Tingo Maria,PE,76.75,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
76,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
85,Laguna,US,76.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
86,Samarai,PG,81.07,broken clouds,-10.6167,150.6667,Nuli Sapi
92,Poum,NC,81.73,overcast clouds,-20.2333,164.0167,
94,Hilo,US,77.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Bengkulu,ID,76.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Luwuk,ID,76.15,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
110,Dutlwe,BW,79.18,broken clouds,-23.9833,23.9,
115,Kantunilkin,MX,76.95,overcast clouds,21.0917,-87.45,Posada Paraiso
123,Berbera,SO,75.6,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
127,Souillac,MU,75.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,Vaini,TO,80.26,broken clouds,-21.2,-175.2,Keleti Beach Resort
133,Hoi An,VN,75.16,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
140,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
142,Neiafu,TO,75.88,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
143,Itaituba,BR,78.96,thunderstorm,-4.2761,-55.9836,Hotel Campos
145,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
149,Sabang,ID,81.72,overcast clouds,5.8933,95.3214,Hotel Citra
150,Carnarvon,AU,75.96,light rain,-24.8667,113.6333,Hospitality Carnarvon
151,Port Blair,IN,78.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
154,Lompoc,US,82.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
162,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
165,Carlagan,PH,77.47,broken clouds,14.975,122.0456,Cabatagan Island
168,Massape,BR,83.53,scattered clouds,-3.5228,-40.3428,Pousada Recanto de Fátima
170,Amapa,BR,76.69,overcast clouds,1.0,-52.0,
175,Vila Velha,BR,80.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
177,Kudahuvadhoo,MV,82.76,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
178,Yantzaza,EC,77.68,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
179,Port Hedland,AU,75.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
181,Hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
183,Bandarbeyla,SO,75.24,scattered clouds,9.4942,50.8122,JABIR HOTEL
184,Ahipara,NZ,75.63,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
190,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
194,Broken Hill,AU,75.63,broken clouds,-31.95,141.4333,Royal Exchange Hotel
197,Fare,PF,81.63,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
198,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
199,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
201,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
205,Alugan,PH,80.06,overcast clouds,12.2188,125.4808,JM Lodge
207,Rosarito,MX,84.15,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
212,Mitsamiouli,KM,81.09,overcast clouds,-11.3847,43.2844,Foyer ADM
214,Pemangkat,ID,75.81,moderate rain,1.1667,108.9667,Ramah Kost KITA
218,Encrucijada,CU,82.96,broken clouds,22.6169,-79.8711,Hostal La Terraza
220,Axim,GH,79.0,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
222,Sao Joao Da Barra,BR,75.29,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
225,Banjar,ID,78.66,broken clouds,-8.19,114.9675,The Hamsa Resort
229,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
233,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
236,Emiliano Zapata,MX,82.89,broken clouds,18.8333,-99.1833,Parador De Manolos Hotel
241,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
243,Pijijiapan,MX,82.53,clear sky,15.7011,-93.23,Hotel Rosita
245,Young,UY,79.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
